pruned_at	root	file_count	bytes	policy	reason
2026-08-06T02:44:34Z	rewrite/archive	464	54871713516	retain per-run README and one append-only prune-ledger row; do not retain generated TSV payloads	failed and provisional Phase 0 snapshots duplicated generated metadata without adding independent evidence
2026-08-06T03:46:54Z	rewrite/archive	254380	39649277759	retain one append-only prune-ledger row only; do not retain per-run directories, copied READMEs, Kbuild artifacts, or generated payloads	all invalidated Phase 0 snapshots duplicated reproducible artifacts; current canonical material is retained as checksummed gzip bundles under rewrite/phase0-bundles
2026-08-06T03:56:54Z	rewrite/kbuild	61443	9474185076	retain verified selected metadata bundles only; do not retain full Kbuild object, image, module, or intermediate output trees	the frozen source and toolchain regenerate this transient Phase 0 extraction input; canonical command, dependency, generated-source, and inventory evidence is retained in rewrite/phase0-bundles
2026-08-06T15:10:15.890Z	rewrite/archive/phase0-s016270-s016294-dependency-defect-20260806T1414Z	46	2983181430	retain one append-only prune-ledger row only; do not retain per-run directories, copied READMEs, Kbuild artifacts, or generated payloads	Deep adjudication confirmed frozen queue omitted S016294 -> S016270 and S016270 accepted IP_CT_NUMBER=4 although pinned Linux mechanically defines 5; regenerate the complete Phase 0 inventory and freeze a fresh queue before any Phase 1 resume.
2026-08-06T15:56:08.168Z	rewrite/archive/phase0-evidence-isolation-defect-20260806T1539Z	46	3003027774	retain one append-only prune-ledger row only; do not retain per-run directories, copied READMEs, Kbuild artifacts, or generated payloads	phase0-evidence-isolation-defect-20260806T1539Z: second fresh queue generation quarantines all superseded root canonical task evidence with deterministic hashes and grants no source or evidence carryover credit
2026-08-07T03:25:50.874Z	rewrite/archive/phase0-semantic-closure-gate-defect-20260807T0221Z	48	3003031879	retain one append-only prune-ledger row only; do not retain per-run directories, copied READMEs, Kbuild artifacts, or generated payloads	semantic-closure-gate-defect-20260807T0221Z: Phase0 reopened to add identity-bound field-key schema and append-only reviewed effective-closure transactions; all prior task states receive zero acceptance credit
2026-08-07T03:43:06.453Z	rewrite/archive/phase0-semantic-closure-quarantine-schema-followup-20260807T0347Z	48	3003031879	retain one append-only prune-ledger row only; do not retain per-run directories, copied READMEs, Kbuild artifacts, or generated payloads	semantic-closure recovery follow-up: version task-evidence quarantine semantics so immutable v1 generations remain auditable after the canonical evidence set expands; provisional queue had 5792 TODO rows and zero accepted or active tasks
2026-08-07T03:45:06.509Z	rewrite/archive/phase0-quarantine-schema-v1-defect-20260807T0247Z	48	3003031879	retain one append-only prune-ledger row only; do not retain per-run directories, copied READMEs, Kbuild artifacts, or generated payloads	phase0-quarantine-schema-v1-defect-20260807T0247Z: consume the coordinator-authorized duplicate gate reopen conservatively after adding version-aware v1 legacy five-file and v2 current twelve-file quarantine validation; the superseded provisional queue contained 5792 TODO tasks, no claims, no acceptance evidence, and no leases
2026-08-07T03:52:44.841Z	rewrite/archive/phase0-zero-quarantine-validation-defect-20260807T0354Z	48	3003031879	retain one append-only prune-ledger row only; do not retain per-run directories, copied READMEs, Kbuild artifacts, or generated payloads	phase0-zero-quarantine-validation-defect-20260807T0354Z: allow an explicitly declared zero-evidence all-TODO reopen only when task quarantine metadata, quarantine events, and file counts are all empty; preserve exact count and set validation for nonzero generations
2026-08-07T04:57:13.959Z	rewrite/archive/phase0-semantic-closure-seal-defect-20260807T0410Z	48	3003031879	retain one append-only prune-ledger row only; do not retain per-run directories, copied READMEs, Kbuild artifacts, or generated payloads	semantic-closure-seal-defect-20260807T0408Z: repair identity-bound proposal seal creation to hash validated proposal TSV bytes, add canonical seal read validation and partial/mutated proposal rejection coverage, quarantine superseded fresh evidence with zero carryover credit, and freeze a clean all-TODO queue generation
