id	phase	category	status	detail	required_resolution
B000001	Phase 0	pinned-source	RESOLVED	Initial run lacked vendor/linux.SHA. The pin was created and verified against vendor/linux HEAD 425f94c2954b1fe80ebdbf9b29854e89750355df.	Resolved on 2026-08-05; retain as historical blocker evidence.
B000002	Phase 0	frozen-config	RESOLVED	Initial run lacked the frozen configuration directories. x86_64 and AArch64 defconfig.config inputs and metadata were generated and verified against the pinned Linux commit.	Resolved on 2026-08-05; retain as historical blocker evidence.
B000003	Phase 0	scope-gate	RESOLVED	Resolved on 2026-08-05 after canonical LLVM 19 predicate capture and independent replay for both architectures, regenerated Phase 0 manifests and identity, a fresh all-TODO/unleased queue, frozen validation PASS, and an empty src/ tree. __has_attribute(__no_stack_protector__) is PROVEN=1 for both x86_64 and AArch64.	Retain the archived provisional evidence; any compiler-predicate, compiler, target, flag, configuration, or toolchain change reopens Phase 0.
B000004	Phase 0	semantic-inventory-and-kbuild-disposition	RESOLVED	Resolved on 2026-08-05. Deterministic extraction now records selected per-architecture symbols, conditions, ABI/lifetime mechanical facts, C-file/generated-source inclusions, macro-generated symbols, and recursive Kbuild archive ownership. Independent frozen validation passed.	Retain the archived provisional evidence; regenerate and validate the complete scope/manifest/queue set if extraction inputs change.
B000005	Phase 0	compiler-builtin-condition-metadata	RESOLVED	Resolved on 2026-08-05. The canonical compiler-predicate inventory and independent validation prove __has_attribute(__no_stack_protector__)=1 under each architecture's exact frozen Kbuild context, compiler, target, configuration, and environment.	Retain raw probe command/output evidence and rerun the controlled capture if any bound input changes.
B000006	Phase 0	header-closure-and-task-dependencies	RESOLVED	Historical partial resolution on 2026-08-06 inventoried the compiler-emitted header closure and direct Linux-to-Linux include edges, but it did not prove context-dependent providers, forced-include context, or generated-wrapper bridges for header tasks. B000007 invalidated that snapshot; B000006 alone is not a sufficient Phase 0 gate.	Retain the earlier invalidated archive as historical evidence. Current authority requires B000007 to be RESOLVED by regenerated generalized header-context/provider validation and a fresh queue fingerprint.
B000007	Phase 0	header-context-provider-dependencies	RESOLVED	Resolved on 2026-08-05 after explicitly invalidating and archiving the defective Phase 0 snapshot, clearing active source/task evidence, and regenerating the complete inventory from retained Kbuild/config/toolchain/compiler-predicate evidence. Independent frozen validation proves 18,387 exact literal include edges, 8,209 exact lexical context edges, 121 generated-wrapper bridges, 16,615 provider edges, and 137,858 acyclic task-dependency records. The fresh 5,805-row queue is entirely TODO, attempt zero, and unleased; identity binding 62283040fd00fc0503b8aac76db35246a541b8154fa7f4d32795ae9a33001a8a binds queue fingerprint b461b559ae8b1232826b514c743040174e61e3d2dfc5d5ff67e6008b0da26a68.	Retain rewrite/archive/phase0-header-provider-defect-20260805T202430Z and rewrite/archive/phase0-unbound-queue-after-tool-fix-20260805T205258Z as invalid evidence. Any extractor, validator, queue-tool, configuration, toolchain, compiler-predicate, Kbuild metadata, or pinned-source change reopens Phase 0 and requires a new identity and queue.
B000008	Phase 0	kunit-oracle-classification	RESOLVED	Resolved on 2026-08-05 after invalidating and archiving the defective all-TODO/unleased snapshot, adding a generalized path/Kbuild-owner/header-consumer Oracle classifier, regenerating the complete inventory and semantic manifests, and passing all 93 independent frozen validation checks plus standalone queue verification. The exact Oracle set is 16 paths: 13 headers and 3 direct sources, comprising 7 KUnit framework/suite paths, 1 in-tree tests-directory path, 5 selftest-named paths, and 3 test-named paths. All 16 have empty destinations and are absent from semantic manifests and the fresh queue. The 5,792-row queue is entirely TODO, attempt zero, and unleased; src/ and task evidence are empty. Identity binding 8f8f2ac1b867f4ba89f00ff5812de9dc6eedd9929724ccce928a604c0301de3f binds queue fingerprint af93adda6e7845ec178dc63a9462f88384392f78353165ea5a583ef78fcf423c.	Retain rewrite/archive/phase0-kunit-classification-defect-20260805T210642Z as invalid historical evidence. Any extractor, Oracle-classification rule, validator, queue-tool, configuration, toolchain, compiler-predicate, Kbuild metadata, or pinned-source change reopens Phase 0 and requires a new identity and queue.
B000009	Phase 1	reviewer-rustc-policy-incident	RESOLVED	Resolved 2026-08-06T05:58:32.900Z as Level 0. Retained Rust-review session evidence records a forbidden shell substitution `rustc --print sysroot` while S016386 was in REVIEWING, but it named and passed no translated source; stdout was consumed as a path, stderr was redirected, and its own exit status/path/version were not retained. Immutable evidence, fresh source-only S016386 Rust review/application, policy hardening, and independent deep-adjudicator validation PASS establish that no accepted source or report relies on compiler feedback. S013591 was defensively paused only. Phase 0 identity and frozen queue remain valid.	Retain the incident package and append-only event evidence. Resume normal source-only translation through the locked P01/P02 queue workflow; any future compiler invocation immediately opens a new incident without weakening Phase 1 rules.
B000010	Phase 0	header-enumerator-provider-dependency	RESOLVED	Resolved on 2026-08-06 after deep adjudication invalidated the prior queue because S016294 omitted its mechanical dependency on S016270 and S016270 accepted IP_CT_NUMBER=4 despite the pinned Linux enumerator value 5. Fresh x86_64/AArch64 Kbuild metadata, direct compiler-predicate replay, enumerator inventory, generalized header-provider analysis, and independent pre-queue plus frozen validation prove IP_CT_NUMBER=5 for both architectures, the x86_64 xt_state.h to nf_conntrack_common.h provider edge for IP_CT_IS_REPLY and IP_CT_NUMBER, and S016294 dependencies=S016270. The regenerated 5,792-row queue is entirely TODO, attempt zero, and unleased; identity binding 1c793a8db8b4971fdfc15cd7b9e5f503d6b4399893cb0cb5ab171f95c9e46a23 binds queue fingerprint d6c01f29edd048c73608fff2ed65f2485755023f85ffc0fec01e9f511fd6a72c; PHASE0_IDENTITY.sha256 is 1192e5f7327e5d3326a5d0b981f1da69fbea93b729b64dd3b6378c785099b342.	Retain exactly one append-only rewrite/archive/PRUNED_TSVS.tsv ledger row for rewrite/archive/phase0-s016270-s016294-dependency-defect-20260806T1414Z and no per-run archive directory or payload snapshot. Any extractor, validator, queue-tool, configuration, toolchain, compiler-predicate, Kbuild metadata, pinned-source, enumerator-provider set/value, manifest, identity, or frozen-queue input change reopens Phase 0 and requires full regeneration and a fresh queue fingerprint.
