evidence	sha256	retention	relevance
Codex session transcript	e209fb6800c9349625449723348c18034d32bf11dc4de09f970a0f619ec2671f	/home/fenhir/.codex/sessions/2026/08/06/rollout-2026-08-06T12-16-19-019fd512-6057-70d0-bd49-9a55991751fa.jsonl	Authoritative command text, task role/context, and tool wrapper result.
S016386 implementation report	7230354f49ec588587826efb289f3a7f8bbc326c6e51b991064a492ae1fffd9d	rewrite/logs/tasks/S016386/implementation.md	Pre-command candidate provenance.
S016386 candidate summary	ffe477a3774d109e8fb34d56d6d777de78d2f4fb1180679129e633915a8b8429	rewrite/logs/tasks/S016386/candidate.diff	Pre-command candidate evidence.
S016386 parity review	d6b6e15bfe4b4bf40c7766e7fedcfefc5d960ac9266796c13489a3f802b2a475	rewrite/logs/tasks/S016386/parity-review.md	Separate reviewer report completed before incident pause.
S016386 stopped Rust review	968c664fcb275a35aa5b03faac494602512c2cdfe71d35f7933decd121e03f2e	rewrite/incidents/reviewer-rustc-20260806T053520Z/stopped-rust-review.md	Exact pre-remediation report extracted from the immutable session transcript; the live task path now correctly contains the replacement review.
S013591 implementation report	62e2765a3e2588795e87c83d83e5c6d6082c8e76ab9c9cf8dce393c33a201b1f	rewrite/logs/tasks/S013591/implementation.md	Shows P02 evidence was separate.
S013591 candidate summary	90547bd1e0f62e5ea4e20087c980ef01f9419ddeca989f94598ac426be28e226	rewrite/logs/tasks/S013591/candidate.diff	Shows P02 evidence was separate.
Queue before remediation (whole snapshot observed)	1fb23f0e22e3e8e375b58131ef60c7ae7a551c5de46a15f3d7fa4dba5b202d1c	Incident-capture observation; live queue is intentionally mutable	Original whole-file hash retained as evidence; the immutable affected-row extraction is indexed separately below.
Affected queue rows before remediation	3a21047fdf9ca21dac8570773a0cda2939af42eb8b488f1b819e3ce3f1059f03	rewrite/incidents/reviewer-rustc-20260806T053520Z/queue-rows-before-remediation.tsv	Exact S013591 and S016386 PAUSED rows from immutable coordinator session call_l1gppOXYnykWx7SNHNLb6Gqh. Replacing the current two rows with these rows reproduces the observed whole-queue hash 1fb23f0e22e3e8e375b58131ef60c7ae7a551c5de46a15f3d7fa4dba5b202d1c.
Queue fingerprint	0cbbf693a46599afafa4132650ef6d0570d703beb9d578e0e29e214dac8744bd	rewrite/TRANSLATION_TASKS.sha256	Verified frozen immutable fields.
Phase 0 identity	2478fec4a8f674203ec3d4f92385929c179f56c275615ea845500a19f23d9ec9	rewrite/PHASE0_IDENTITY.tsv	Verified unchanged Phase 0-bound identity.
Events before remediation	96127719e07023329ea2893df4fc15db839a2452e8918f5951293c962e64e903	rewrite/events.jsonl bytes 1 through 6336 (append-only prefix)	Historical lifecycle and pause events retained in the current append-only file; `head -n 6336 rewrite/events.jsonl | sha256sum` verifies this hash.
S016386 source snapshot	f161582f0d8b7f4c1f16f136511de657bcb3616547260b1988d46c2057e8ec79	rewrite/incidents/reviewer-rustc-20260806T053520Z/S016386-candidate-before-remediation.rs	Exact candidate extracted from the immutable session transcript; not passed to rustc.
S013591 source snapshot	6e4d759ddcbfca5d2ce82159786c71057f263fbad35dc2896f58a6db373a8f89	rewrite/incidents/reviewer-rustc-20260806T053520Z/S013591-candidate-before-remediation.rs	Exact concurrent candidate extracted from its immutable implementer transcript; not passed to rustc.
