rust_file	parity_claim	c_source	rust_lines	verdict	claim_check	cover_pct	patterns	note	risk	best
src/arch/mod.rs	partial	arch	8	INDEX	ok	0		Top-level arch module aggregator; currently x86-only, marked partial for future multi-arch support.		
src/arch/x86/boot/a20.rs	complete	arch/x86/boot/a20.c	215	FULL	ok	85	P1,P2,P3,P4,P5	Complete A20 gate logic; trait seam replaces Linux static functions, idiomatic Result<> used throughout.		Trait-based platform abstraction mirrors C function-pointer indirection while leveraging Rust ownership.
src/arch/x86/boot/apm.rs	complete	arch/x86/boot/apm.c	197	FULL	ok	90	P1,P2,P4,P5	APM BIOS query; line-by-line translation of signature checks and register shuffling; trait BiosCaller replaces real-mode intcall.		
src/arch/x86/boot/biosregs.rs	partial	arch/x86/boot	171	PARTIAL	ok	40	P1,P2,P6	Struct layout and accessor methods complete; intcall thunk missing (intentional—no real-mode runtime). Preserves union-like bit-field semantics via inline accessors.		
src/arch/x86/boot/bitops.rs	complete	arch/x86/boot/bitops.h	124	FULL	ok	100	P3,P4,P5	Pure bitops arithmetic (test_bit/set_bit) translated to safe Rust over u32 slices; asm instruction semantics exactly preserved.		
src/arch/x86/boot/boot.rs	complete	arch/x86/boot/boot.h	452	FULL	ok	80	P1,P4,P6	Segment register accessors and delay functions via careful unsafe inline-asm; mirrors Linux boot.h instruction-for-instruction.	Unsafe asm blocks assume caller owns segment selectors; no validation of caller context.	
src/arch/x86/boot/cmdline.rs	complete	arch/x86/boot/cmdline.c	388	FULL	ok	85	P1,P3,P4	cmdline parsing with null-termination checks; Result-based error handling replaces Linux -1 sentinel.		
src/arch/x86/boot/compressed/acpi.rs	complete	arch/x86/boot/compressed/acpi.c	161	FULL	ok	75	P1,P2,P3,P4	ACPI table parsing (RSDP, descriptor) with safe bounds checking; trait seam for RSDP lookup.		
src/arch/x86/boot/compressed/cmdline.rs	complete	arch/x86/boot/compressed/cmdline.c	90	FULL	ok	80	P1,P3,P4	cmdline parsing in compressed stage; simple character scanning with idiomatic slicing.		
src/arch/x86/boot/compressed/cpuflags.rs	complete	arch/x86/boot/compressed/cpuflags.c	63	FULL	ok	100	P1,P2,P3	CPUID flag parsing; pure bit-math functions, no side effects. Direct translation from C macros to Rust.		
src/arch/x86/boot/compressed/early_serial_console.rs	complete	arch/x86/boot/compressed/early_serial_console.c	56	FULL	ok	100	P1,P3,P4	Serial I/O init and output; port writes via trait seam; tight loop matches Linux timing.		
src/arch/x86/boot/compressed/efi.rs	complete	arch/x86/boot/compressed/efi.c	572	FULL	ok	75	P1,P2,P3,P4	EFI table walking and GUID matching; struct layouts exact; pointer chasing via seam trait.	Unsafe pointer dereferences guarded by seam interface; assumes EFI firmware memory safety.	
src/arch/x86/boot/compressed/error.rs	complete	arch/x86/boot/compressed/error.c	101	FULL	ok	100	P1,P3,P4	Error sink for decompressor output; simple trait-based printing; mirrors misc.c error() callback.		
src/arch/x86/boot/compressed/ident_map_64.rs	complete	arch/x86/boot/compressed/ident_map_64.c	121	FULL	ok	100	P1,P2,P3,P4	Identity-map page-table builder; struct shapes and bit arithmetic match Linux exactly.		
src/arch/x86/boot/compressed/idt_64.rs	complete	arch/x86/boot/compressed/idt_64.c	150	FULL	ok	100	P1,P2,P3,P4	IDT descriptor setup; gate struct and gate-building math faithful to Linux.		
